A_Name_Ch,A_Summary,A_Keywords,A_AlsoKnown,A_Geo,A_Location,A_POIGroup,A_Name_En,A_Name_Latin,A_Phylum,A_Class,A_Order,A_Family,A_Conservation,A_Distribution,A_Habitat,A_Feature,A_Behavior,A_Diet,A_Crisis,A_Interpretation,A_Theme_Name,A_Theme_URL,A_Adopt,A_Code,A_Pic01_ALT,A_Pic01_URL,A_Pic02_ALT,A_Pic02_URL,A_Pic03_ALT,A_Pic03_URL,A_Pic04_ALT,A_Pic04_URL,A_pdf01_ALT,A_pdf01_URL,A_pdf02_ALT,A_pdf02_URL,A_Voice01_ALT,A_Voice01_URL,A_Voice02_ALT,A_Voice02_URL,A_Voice03_ALT,A_Voice03_URL,A_Vedio_URL,A_Update,A_CID
大貓熊,請於入園時領取參觀票券,大貓熊;圓仔;團團;圓圓,,MULTIPOINT ((121.5831587 24.9971109)),新光特展館(大貓熊館),,Giant Panda,Ailuropoda melanoleuca,Phylum Chordata 脊索動物門,Class Mammalia 哺乳綱,Order Carnivora 食肉目,Family Ursidae 熊科,瀕臨絕種保育類,目前僅存於中國四川、甘肅和陜西三省境內。,"海拔1,400-3,500公尺的高地，會因季節的變化而改變其居住的海拔高度，一般在乾淨的活水源和箭竹發育良好的地區活動。","具有強壯有力的四肢：後腳內八字撇，有利於在密林中走動時撥開竹子。
腕骨特化成的偽拇指，使得牠們能俐落地取食竹子。
掌心覆有毛，使得大貓熊能夠在寒冷的雪地上行走。
小小的黑色耳朵有減少熱量散失的作用。","獨居的動物，除了交配季節或雌性的育幼時期，牠們都是獨自居住的。
最活躍的時間在早晨和黃昏，但竹子所含熱量低，為減少能量的消耗，牠們每天的睡眠時間約10小時，剩餘時間則大多在覓食和進食。",大貓熊以竹為主食(大約99%),,"1. 大貓熊是獨居的動物，除了交配季節或雌性的育幼時期，牠們都是獨自居住的。
2. 大貓熊性情溫和，很少主動攻擊，喜歡隱蔽，活動範圍通常在10-30公頃之內。會用體味、尿液和爪痕標記活動範圍。
3. 以竹為主食(大約99%)，然而牠的牙齒、骨骼及腸子等的構造卻和食肉性動物一樣。為了補充足夠的營養，大貓熊不冬眠。
4. 平常動作遲緩而笨拙，一但遇到豺、狼或豹等的襲擊時，則會迅速的爬樹避敵，以四肢抱著樹幹，可直達頂上。
5. 大貓熊最活躍的時間在早晨和黃昏，但竹子所含熱量低，為減少能量的消耗，牠們每天的睡眠時間約10小時，剩餘時間則大多在覓食和進食。
6. 受到森林砍伐、墾荒耕種、交通開發等人為活動的干擾，大貓熊的天然棲所早在1960年代已呈現大幅縮減與破碎化，野生族群殘存於長江上游各支流源頭、青藏高原東緣向四川盆地過度的6塊狹長地帶，個體被迫散居各地，對原本發情難、配種難、育幼難的大貓熊而言，保護其棲息地的工作刻不容緩。",YA!大貓熊-臺北大貓熊保育網,http://newweb.zoo.gov.tw/panda/,,Panda,大貓熊「團團」和「圓圓」,http://www.zoo.gov.tw/iTAP/03_Animals/PandaHouse/Panda_Pic01.jpg,「圓仔」跟媽媽互動,http://www.zoo.gov.tw/iTAP/03_Animals/PandaHouse/Panda_Pic02.jpg,大貓熊「圓仔」,http://www.zoo.gov.tw/iTAP/03_Animals/PandaHouse/Panda_Pic03.jpg,大貓熊「團團」和「圓圓」,http://www.zoo.gov.tw/iTAP/03_Animals/PandaHouse/Panda_Pic04.jpg,「遇見大貓熊」學習單(4.2MB),http://www.zoo.gov.tw/iTAP/03_Animals/PandaHouse/Panda_PDF01.pdf,「遇見大貓熊」解答(1.18MB),http://www.zoo.gov.tw/iTAP/03_Animals/PandaHouse/Panda_PDF02.pdf,雌大貓熊咩叫聲,http://mediasys.taipei.gov.tw/tcg/service/KMStorage/355/894E598B-8A9F-BAA8-206D-8DF52A8C5763/Panda_Voice01.mp3,雌雄大貓熊交配時的叫聲,http://mediasys.taipei.gov.tw/tcg/service/KMStorage/355/3FAC21EE-A863-6E2C-BF12-4E6FEF67BDE/Panda_Voice02.mp3,山豬老大ABC第13集Bears,http://mediasys.taipei.gov.tw/tcg/service/KMStorage/355/ADB04074-6156-5C7C-1630-B4E88BAD5147/Panda_Voice03.mp3,http://www.youtube.com/playlist?list=PLWYak5Af5-DvboTzxQYeg7aKYA9UHYwSf,2015/11/23,1
國王企鵝,,企鵝；國王企鵝,,MULTIPOINT ((121.5907654 24.9931338)),企鵝館,,King Penguin,Aptenodytes patagonicus,脊索動物門,鳥綱,企鵝目,企鵝科,,亞極區及極區低緯度的海洋及遠洋。,在沒有雪及冰覆蓋的平坦海濱繁殖，有時繁殖區會長有草，通常離水不遠。花許多時間在繁殖區的附近。在南緯60度以南的地區從未聞有繁殖記錄。,體長94-95公分，體重9-15公斤。與皇帝企鵝相較，嘴相對較長，耳斑有不同的色調及形狀。幼鳥有較淺的黃色耳斑及較暗的下顎板。亞種間的不同在嘴及翅膀的長度。,群居，但仍有領域性（一嘴距離）。好奇、膽小又謹慎。通常在半夜交配。如果交配成功，約7-10天，母企鵝會下1個蛋。國王企鵝不築巢。孵蛋姿勢採直立式。靠近腳的腹部羽毛會脫落，成為有褶皺裸膚，將整個蛋包住在兩腿及腹部皮褶間，靠下腹體溫加熱孵化。,主要以魚維生，特別喜歡吃小型的燈籠魚科(Myctophidae)的魚類，也會吃頭足類(cephalopods)如魷魚(Moroteuthis)。抓獵物的方式靠潛水追補魚，游速可達12km/h。抓頭足類的成功率有10%。通常潛水抓魚的深度不會超過50公尺深，但有時可潛水至海底240公尺深。可能白天及晚上都會抓魚，白天的潛水較深。,,,,,,KingPenguin,國王企鵝,http://www.zoo.gov.tw/iTAP/03_Animals/PenguinHouse/KingPenguin/KingPenguin_Pic01.jpg,國王企鵝,http://www.zoo.gov.tw/iTAP/03_Animals/PenguinHouse/KingPenguin/KingPenguin_Pic02.jpg,國王企鵝,http://www.zoo.gov.tw/iTAP/03_Animals/PenguinHouse/KingPenguin/KingPenguin_Pic03.jpg,國王企鵝,http://www.zoo.gov.tw/iTAP/03_Animals/PenguinHouse/KingPenguin/KingPenguin_Pic04.jpg,,,,,,,,,,,https://www.youtube.com/playlist?list=PLWYak5Af5-DuSoWNgHVIi8vH8AlN6Rzg4,2017/9/29,2
黑腳企鵝,,,,MULTIPOINT ((121.5910631 24.9928761)),企鵝館,,Jackass penguin,Spheniscus demersu,脊索動物門,鳥綱,企鵝目,企鵝科,CITES、農委會,南非及納米比亞。,海洋。在近岸的島嶼築巢，較少在大陸的海岸築巢。在近岸的海域覓食。,體長68-70公分。黑臉從眼後上至白眉處。一些鳥在上胸處有第二個黑帶。幼鳥的頭灰色及胸帶不明顯。,"鳥兒水中游
群居。好奇、膽小又謹慎。
吵架時會發出咆哮聲音非常吵鬧。
屬溫帶氣候企鵝，散熱有撇步：身上薄羽、蓬鬆羽、薄皮下脂；陸上活動時，會找遮蔽地，盡量夜間活動，有張口喘氣散熱習慣。
黑腳企鵝整年都可繁殖，通常在岩石下、植叢內或洞穴內築巢，巢會內襯一些材料。一窩下2個蛋，有下第二窩的記錄。孵化期約38天。
",遠洋0.5-1.2公分長的魚。較重要的捕獲魚種有鯷魚和鯡魚。在可潛水至海底130公尺處。成鳥在海裡聚集成群，共同捕魚。,黑腳企鵝在20世紀初估計有50萬至100萬對，目前的族群則估計有5萬至17萬對。族群消失的原因與所吃的魚被大量捕捉有關。誤入魚網的意外則難以計算。,,,,,JackassPenguin,黑腳企鵝,http://www.zoo.gov.tw/iTAP/03_Animals/PenguinHouse/JackassPenguin/JackassPenguin_Pic01.jpg,黑腳企鵝,http://www.zoo.gov.tw/iTAP/03_Animals/PenguinHouse/JackassPenguin/JackassPenguin_Pic02.jpg,黑腳企鵝,http://www.zoo.gov.tw/iTAP/03_Animals/PenguinHouse/JackassPenguin/JackassPenguin_Pic03.jpg,黑腳企鵝,http://www.zoo.gov.tw/iTAP/03_Animals/PenguinHouse/JackassPenguin/JackassPenguin_Pic04.jpg,,,,,,,,,,,https://www.youtube.com/playlist?list=PLWYak5Af5-Dvty-i1vf2Qi3_pHasXp3LI,2017/9/29,3
弓角羚羊,,,,MULTIPOINT ((121.5852535 24.9952281)),沙漠動物區,,Addax,Addax nasomaculatus,脊索動物門,哺乳綱,偶蹄目,牛科 Family Bovidae,瀕臨絕種保育類野生動物,非洲撒哈拉沙漠地區,棲息於貧瘠沙漠及半沙漠地區,身體為米色到淡灰色，臀部、腹部及四肢的顏色較淡，眼睛下方及兩眼之間有明顯的白色斑紋，前額處有一撮棕色的毛。雌雄均有螺旋形的角，角非常長，雌性的角略細。,"一、 弓角羚羊是群居的動物，由年長的雄羚領導數隻雌羚及牠們的子女。通常在晨昏及白天活動，偶爾也會在夜間活動。
二、 估計目前野外的弓角羚羊不超過500頭，圈養的數量也約僅500頭。
",草食性，以草為主，也會吃樹葉及樹根。,,,,,,Addax,弓角羚羊,http://www.zoo.gov.tw/iTAP/03_Animals/DesertAnimal/Addax/Addax_Pic01.jpg,弓角羚羊,http://www.zoo.gov.tw/iTAP/03_Animals/DesertAnimal/Addax/Addax_Pic02.jpg,弓角羚羊,http://www.zoo.gov.tw/iTAP/03_Animals/DesertAnimal/Addax/Addax_Pic03.jpg,弓角羚羊,http://www.zoo.gov.tw/iTAP/03_Animals/DesertAnimal/Addax/Addax_Pic04.jpg,,,,,,,,,,,https://www.youtube.com/playlist?list=PLWYak5Af5-Dsy34oRxaiXKHU2eVEUHvzp,2017/9/29,4
非洲野驢,,,,MULTIPOINT ((121.5856424 24.9951066)),沙漠動物區,,African wild ass,Equus africanus somaliensis,脊索動物門,哺乳綱,奇蹄目,馬科,IUCN極危,衣索匹亞及厄利垂亞南邊,乾旱、半乾旱氣候區域,頭、背及體側覆蓋著介於淺灰及淺黃色的短毛，吻端、腹部、腳則為白色。索馬利亞種的腿上有類似斑馬的黑色水平紋路。每一匹非洲野驢腿上都有獨一無二的條紋，是辯識個體的重要依據。,白天在山邊陰涼處休息，等到清晨及黃昏，較冷的時候才出沒活動。成熟的優勢的雄驢會在自己的勢力範圍邊界堆糞，作為宣示領域的重要記號。,草、樹皮、葉,由於盜獵及棲地的減少，使得非洲野驢瀕臨絕種，幸好由於當地政府及原住民的保育意識，使得牠們的數量已經漸漸增加。,分布：生活在東非的草原及其他乾燥的地區。食物：草、樹皮、葉。白天在山邊陰涼處休息，等到清晨及黃昏，較冷的時候才出沒活動。成熟的優勢的雄驢會在自己的勢力範圍邊界堆糞，作為宣示領域的重要記號。當有發情的雌驢時，雄驢會大叫。,,,,,非洲野驢,http://www.zoo.gov.tw/iTAP/03_Animals/DesertAnimal/WildAss/WildAss_Pic01.jpg,非洲野驢,http://www.zoo.gov.tw/iTAP/03_Animals/DesertAnimal/WildAss/WildAss_Pic02.jpg,非洲野驢,http://www.zoo.gov.tw/iTAP/03_Animals/DesertAnimal/WildAss/WildAss_Pic03.jpg,非洲野驢,http://www.zoo.gov.tw/iTAP/03_Animals/DesertAnimal/WildAss/WildAss_Pic04.jpg,,,,,,,,,,,https://www.youtube.com/playlist?list=PLWYak5Af5-DuVgMLgje0PwwGGWo9ioKRJ,2017/9/29,
單峰駱駝,,,,MULTIPOINT ((121.5856987 24.9952026)),沙漠動物區,,Dromedary Camel或One-humped Camel,Camelus dromedarius,脊索動物門,哺乳綱,偶蹄目 Order Artiodactyla,駱駝科 Family Camelidae,,北非及亞洲西南部、印度,沙漠地區,只有一個駝峰。毛色為深棕色到暗灰色，毛比雙峰駱駝短而柔軟，腿也比較長，頭頸部長，尾巴短，眼睫毛濃密，耳朵小，上唇深裂，鼻孔扁平呈細縫狀，蹄寬大呈扇狀。,"一、 單峰駱駝是群居的動物，由雄駱駝擔任領導。
二、 單峰駱駝大約在4,000-6,000年前就被人類馴養當作駝獸，可以用來載人及搬運貨物。一直到20世紀，單峰駱駝在非洲的戰爭中都還扮演重要的角色，駱駝的乳汁、肉、皮毛及骨頭都可以利用，駱駝乳汁在發酵之後是很好的飲料。
三、 野生的單峰駱駝在2,000年前就絕跡了。",草食性，以沙漠中的植物為食，也會吃一般動物難以下嚥的高鹽分植物，飢餓的狀況下會吃肉。在本園則餵食麥片、粒狀飼料、梯牧草、苜蓿草粒、胡蘿蔔、青牧草、地瓜。,,,,,,Camel-D,單峰駱駝,http://www.zoo.gov.tw/iTAP/03_Animals/DesertAnimal/Camel-D/Camel-D_Pic01.jpg,單峰駱駝,http://www.zoo.gov.tw/iTAP/03_Animals/DesertAnimal/Camel-D/Camel-D_Pic02.jpg,單峰駱駝,http://www.zoo.gov.tw/iTAP/03_Animals/DesertAnimal/Camel-D/Camel-D_Pic03.jpg,單峰駱駝,http://www.zoo.gov.tw/iTAP/03_Animals/DesertAnimal/Camel-D/Camel-D_Pic04.jpg,,,,,,,,,,,https://www.youtube.com/playlist?list=PLWYak5Af5-DtSkFAXVE5E83ap8tfON7my,2017/9/29,5
雙峰駱駝,,,,"MULTIPOINT ((121.5855928 24.9949741), (121.5826973 24.9987117))",沙漠動物區;兒童動物區,,Bactrian Camel或Two-humped Came,Camelus bactrianus,脊索動物門,哺乳綱,偶蹄目 Order Artiodactyla,駱駝科 Family Camelidae,,戈壁沙漠,沙漠、草原地區,有兩個駝峰。毛色為深棕色到暗灰色，頭頸部、駝峰、前肢及尾巴末端都有長達255mm的粗毛。頭頸部長，尾巴短，眼睫毛濃密，耳朵小，上唇深裂，鼻孔扁平呈細縫狀，蹄寬大呈扇狀。,"一、 駱駝的小耳朵長有毛髮，眼睛睫毛濃密，再加上扁平呈細縫狀的鼻孔可自由閉合，這些特徵有助其防止飛揚的塵土跑進去。
二、 駱駝的鼻孔到上唇之間有一條裂隙，呼吸所散失的水氣會順流回至嘴裡，可以減少水分的散失。
三、 駱駝四肢各有兩個腳趾，寬大呈扇狀的蹄具厚軟的肉墊，使之不致陷入鬆軟的沙土之中。
四、 為了適應沙漠日夜極劇的溫差變化，駱駝在白天吸收熱度提升體溫，減少與環境的溫差和水分的散失，晚上溫度降低後方才慢慢釋溫，黎明時體溫降至最低。
五、 駱駝可以耐旱、耐寒，還會游泳，視覺及嗅覺均很發達。
六、 駱駝的駝峰裡都是脂肪，若是長時間不喝水或是營養不良，牠們的駝峰會變小、傾斜，體力也會變差，不過牠們可以忍受體內的水分減少40%以上而不會死亡，耐力驚人。
七、 駱駝會反芻，當被騷擾時，會朝干擾者吐胃含物，具有惡臭。
八、 駱駝的行走方式為同側的腳一起向前邁步
",草食性，以沙漠中的植物為食，也會吃一般動物難以下嚥的高鹽分植物，飢餓的狀況下會吃肉。,,"一、 雙峰駱駝的腿比較短，比較結實，行動比較緩慢。
二、 雙峰駱駝的體力非常好，在負重170-270kg的狀況下，可以以4km的時速，一天走47km，持續走4天以上，。
三、 雙峰駱駝在亞洲被圈養馴化的歷史可追溯至西元前2500年以前。
四、 目前野生的雙峰駱駝數量非常稀少，在中國約有200頭，蒙古約有400-700頭。",,,,Camel-B,雙峰駱駝,http://www.zoo.gov.tw/iTAP/03_Animals/DesertAnimal/Camel-B/Camel-B_Pic01.jpg,雙峰駱駝,http://www.zoo.gov.tw/iTAP/03_Animals/DesertAnimal/Camel-B/Camel-B_Pic02.jpg,雙峰駱駝,http://www.zoo.gov.tw/iTAP/03_Animals/DesertAnimal/Camel-B/Camel-B_Pic03.jpg,雙峰駱駝,http://www.zoo.gov.tw/iTAP/03_Animals/DesertAnimal/Camel-B/Camel-B_Pic04.jpg,,,,,,,,,,,https://www.youtube.com/playlist?list=PLWYak5Af5-DtSkFAXVE5E83ap8tfON7my,2017/9/29,6
人猿,,,,"MULTIPOINT ((121.5834381 24.9952326), (121.5832482 24.9963699))",熱帶雨林區,,Orangutan,Pongo pygmaeus,脊索動物門,哺乳綱,靈長目,人猿人科,極危 CR,婆羅門洲和蘇門答臘兩島的熱帶雨林,熱帶雨林,"粗糙而稀疏的毛顏色會隨著年齡改變，從幼年鮮明的橘色到成年動物的紅褐色，有些還會轉變成深巧克力色。
額頭高，鼻口凸出。手臂很長，後肢比較短弱，手和腳都有長而彎曲的手指和腳趾，拇指很小，大肚子。
雄性比雌性大約一倍;成年的雄猿兩頰鼓起呈肉葉狀，臉邊及頭上的毛髮比較長。
幼猿頭頂上的毛豎起，成年後變平。無毛的臉在成年動物呈黑色，幼猿的鼻口部份及眼睛周圍則是粉紅色。","日行性。
每天早晨及下午近黃昏時活動最頻繁 ，屹住於樹上，長而彎曲的手指和腳趾最適宜摘取水果和抓緊樹枝。手指長而有力，把自己懸掛在樹枝上雙手交替擺盪行進。
在樹上飄盪的本領不是天生的，需要母猿教導。很少下樹在地上活動，通常是為了到另 一棵樹;地面上以四肢行動，緩慢、很小心四周，手用拳頭著地。每天移動200~1000公尺。
每天晚上睡前用樹枝及葉子在樹上築平臺狀的巢，白天則利用舊巢睡午覺。一天中60%的時間用於睡眠打盹。
成年的雄猿通常單獨活動。雄性會守著一個領域及在領域中生活的雌性，佔到越好的地盤(例如食物充足) 雌猿就越多。
成年雄猿兩頰的肉葉下有氣囊與喉部相連;人猿平時比其他靈長類安靜，有時雄性會用氣囊當作共鳴器，在叢林中發出長一分鐘的叫聲，傳到1.5公里以外，不好群聚，會互相迴避，叫聲有間隔作用。 能夠控制臉部肌肉，特別是嘴和鼻子周圍的肌肉，做出各種表情;這些肌 肉的抽動可能是一種信息交流的方式。下雨或太陽很大時會拿多葉的樹枝 檔雨遮陽，或是將大片的葉子掛在頭頸上。會用樹枝挖掘、打架、抓癢及吃東西。",雜食性;以水果為主，尤其是無花杲，另有芒果、紅毛丹、李子、榴槤等; 草木，蜂蜜，含豐富礦物質的土壤，昆蟲，小型脊椎動物，鳥蛋,,,,,,Orangutan,人猿,http://www.zoo.gov.tw/iTAP/03_Animals/RainForest/Orangutan/Orangutan_Pic01.jpg,人猿,http://www.zoo.gov.tw/iTAP/03_Animals/RainForest/Orangutan/Orangutan_Pic02.jpg,人猿,http://www.zoo.gov.tw/iTAP/03_Animals/RainForest/Orangutan/Orangutan_Pic03.jpg,人猿,http://www.zoo.gov.tw/iTAP/03_Animals/RainForest/Orangutan/Orangutan_Pic04.jpg,,,,,,,,,,,https://www.youtube.com/playlist?list=PLWYak5Af5-DtvjgAHJ9EPpco4ZE3aRT4N,2017/9/29,7
大長臂猿,,,,"MULTIPOINT ((121.5833201 24.9955632), (121.5831825 24.9963796))",熱帶雨林區,,Siamang,Symphalangus syndactylus,脊索動物門,哺乳綱,靈長目,長臂猿科,瀕危 EN,馬來西亞、印尼、蘇門答臘及婆羅洲等地,熱帶落葉性和常綠雨林，海拔600~2000公尺,"頭臀75~90公分;兩臂向左右伸出寬度150公分;體重8~13公斤 齒數 32顆，體型最大的長臂猿，體重約為其他長臂猿的兩倍，頭小、胸部較寬、腿較短、 手臂較長。全身黑毛長而密，眉毛為深紅色。
喉部有大而無毛、灰色或粉 紅色的氣囊，呼叫時會鼓脹起。後腳二趾和三趾之間有蹼膜連接(種名 syndactylus的來源)。",與其他長臂猿相同、樹棲性強，一般在25~30公尺高的林地上空活動。能靈活的用雙手交替攀緣行進，但因體型比其他長臂猿大而重，又不似人猿般小心翼翼，比較常跌斷骨頭。很少下樹至地面，走路時站立在兩腳上。一 夫一妻制，每個家庭有自己的領域，以叫聲來劃分界線;一天當中有30%的時間在大聲的叫，雄性尖叫，雌性則發出約18秒長的一串吼叫聲。家庭成員非常團結，一天中成員間平均只相離8公尺，在同一棵樹或同一群樹上覓食，常互相理毛增進感情。每天平均活動10.5小時、移動l公里，輪流覓食和休息。早晨較活躍，會找尋無花果、其他水杲和嫩芽來食用;下午較不活躍，四點至六點間回到休息的樹過夜。,雜食性;主要食物為葉子和水果，其餘另有花、嫩芽及昆蟲(如毛 毛蟲、白蟻等)。,,,,,,Siamang,大長臂猿,http://www.zoo.gov.tw/iTAP/03_Animals/RainForest/Siamang/Siamang_Pic01.jpg,大長臂猿,http://www.zoo.gov.tw/iTAP/03_Animals/RainForest/Siamang/Siamang_Pic02.jpg,大長臂猿,http://www.zoo.gov.tw/iTAP/03_Animals/RainForest/Siamang/Siamang_Pic03.jpg,大長臂猿,http://www.zoo.gov.tw/iTAP/03_Animals/RainForest/Siamang/Siamang_Pic04.jpg,,,,,,,,,,,https://www.youtube.com/playlist?list=PLWYak5Af5-DvCYzIQhRZFOKYhBQaEor5z,2017/9/29,8
印度大犀鳥,,,,MULTIPOINT ((121.5831872 24.9944558)),熱帶雨林區,,Great Indian Horbill,Bucero bicornis,脊索動物門,鳥綱,佛法僧目,犀鳥科,CITES,印度、緬甸、馬來西亞及蘇門答臘,熱帶常綠和落葉性樹林,"嘴尖至尾端127~140公分;翅膀長雄性58公分，雌性51公分;嘴長 雄性29.5公分，雌性25公分 雄性3.5公斤，雌性2.5公斤
黃色的嘴巨大而彎曲，中空、質地輕，不妨礙飛行。
嘴上有盔角，紅色的頂端，後緣黑色或紅色。
身上羽毛主要為黑色;白色的尾長而闊，上帶一道黑條紋。
翅膀寬圓，初級飛羽11枚。
圍眼裸露，眼瞼有發達的睫毛。
兩性相似，除了雄性的紅色眼睛不同於雌性的白色眼睛;雄性盔角後緣多呈黑色，雌性則多帶紅色。","成對或家庭式群居熱帶樹棲鳥，以樹洞為巢。
雖然輕盈的大嘴不影響飛行，大犀鳥飛翔仍緩慢且有些笨拙，翅膀形狀不適宜長途飛行，拍翅聲響聽似運作中的蒸氣引擎。
繁殖時雌鳥會與雛鳥起留在樹洞巢中，洞口以泥土封閉，只留下一個小洞讓在外的雄鳥餵養全家，也給雌鳥及幼鳥排便。",雜食性;主要吃水果，偶爾吃小型的動物，如青蛙、蜥蜴、幼鳥、蝸牛及昆蟲,,,,,,GreatHorbill,印度大犀鳥,http://www.zoo.gov.tw/iTAP/03_Animals/RainForest/GreatHorbill/GreatHorbill_Pic01.jpg,印度大犀鳥,http://www.zoo.gov.tw/iTAP/03_Animals/RainForest/GreatHorbill/GreatHorbill_Pic02.jpg,印度大犀鳥,http://www.zoo.gov.tw/iTAP/03_Animals/RainForest/GreatHorbill/GreatHorbill_Pic03.jpg,印度大犀鳥,http://www.zoo.gov.tw/iTAP/03_Animals/RainForest/GreatHorbill/GreatHorbill_Pic04.jpg,,,,,,,,,,,https://www.youtube.com/playlist?list=PLWYak5Af5-Dunw0T5AN6anLw3QsSdcENM,2017/9/29,9
